City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Rock Sound,BS,82.35,clear sky,24.9,-76.2,Pink Corral Bay Property
379,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
380,Dao,PH,83.01,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
381,Kalmunai,LK,78.08,overcast clouds,7.4167,81.8167,VS Villa
382,Richards Bay,ZA,68.5,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
385,Tshikapa,CD,69.66,light rain,-6.4167,20.8,Tatem beach
389,Mitsamiouli,KM,74.7,clear sky,-11.3847,43.2844,Foyer ADM
391,Port Maria,JM,82.36,overcast clouds,18.3685,-76.8895,Galina Breeze Hotel
392,Gogrial,SS,73.18,overcast clouds,8.5332,28.1004,
394,Grand Gaube,MU,70.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
397,Abu Samrah,SY,65.39,clear sky,35.3029,37.1841,
399,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
405,Yangjiang,CN,74.28,few clouds,21.85,111.9667,HUALUXE Yangjiang City Center
406,Kapoeta,SS,78.21,broken clouds,4.7717,33.5903,Eastgate Hotel
408,Chenzhou,CN,68.0,few clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
409,Vilhena,BR,70.2,overcast clouds,-12.7406,-60.1458,Hotel Mirage
410,Sungaipenuh,ID,66.92,light rain,-2.0833,101.3833,Penginapan Citra Alam
416,Bac Lieu,VN,75.54,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
417,Santa Cruz,BO,80.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
418,Byron Bay,AU,74.71,scattered clouds,-28.65,153.6167,Backpackers Inn
420,Bonthe,SL,75.61,moderate rain,7.5264,-12.505,Bonthe Holiday Village
421,Mangrol,IN,77.52,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
422,Touba,CI,68.72,overcast clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
