City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Faya,SA,18.3851,42.4509,59.11,29,10,4.63,clear sky
185,Mporokoso,ZM,-9.3727,30.125,65.34,23,37,7.54,scattered clouds
186,Changli,CN,39.7042,119.1506,57.25,19,90,14.36,overcast clouds
187,Lalupon,NG,7.4667,4.0667,71.85,97,100,0.94,light rain
188,Malartic,CA,48.1335,-78.1328,43.02,94,100,13.27,moderate rain
189,Mudanya,TR,40.3753,28.8822,61.52,84,100,10.76,overcast clouds
190,San Rafael,AR,-34.6177,-68.3301,62.31,26,35,4.97,scattered clouds
191,Puerto Colombia,CO,10.9878,-74.9547,82.49,80,75,13.15,broken clouds
192,Tondano,ID,1.3038,124.9112,82.49,63,86,2.55,overcast clouds
193,Las Vegas,US,36.175,-115.1372,81.28,32,0,8.05,clear sky
194,Pires Do Rio,BR,-17.2997,-48.2794,73.0,40,27,4.43,scattered clouds
195,Pacific Grove,US,36.6177,-121.9166,64.08,82,75,11.5,broken clouds
196,Cukai,MY,4.25,103.4167,84.99,84,59,3.6,broken clouds
197,Okhtyrka,UA,50.3104,34.8988,37.09,73,7,5.19,clear sky
198,San Cataldo,IT,37.4841,13.9854,58.87,85,3,3.04,clear sky
199,Pangnirtung,CA,66.1451,-65.7125,37.31,93,100,0.81,overcast clouds
200,Buritis,BR,-15.6178,-46.4233,78.46,35,30,4.76,scattered clouds
201,Floro,NO,61.5996,5.0328,49.96,81,100,20.71,overcast clouds
202,Ulaangom,MN,49.9811,92.0667,29.7,54,0,2.59,clear sky
203,San Policarpo,PH,12.1791,125.5072,85.46,70,100,5.77,overcast clouds
204,Upernavik,GL,72.7868,-56.1549,25.79,61,100,10.2,overcast clouds
205,Cape Town,ZA,-33.9258,18.4232,66.38,77,0,11.5,clear sky
206,Salym,RU,60.0625,71.4789,42.8,92,100,4.03,overcast clouds
207,Talnakh,RU,69.4865,88.3972,31.21,96,100,9.95,snow
208,Provideniya,RU,64.3833,-173.3,29.57,74,100,14.09,overcast clouds
209,Bubaque,GW,11.2833,-15.8333,82.35,73,82,7.02,broken clouds
210,Nikolskoye,RU,59.7035,30.7861,49.91,81,100,8.32,overcast clouds
211,Lorengau,PG,-2.0226,147.2712,85.01,71,37,10.49,scattered clouds
212,Sinjar,IQ,36.3209,41.8754,72.03,37,73,3.02,broken clouds
213,Hasaki,JP,35.7333,140.8333,75.29,67,2,12.35,clear sky
214,Alofi,NU,-19.0595,-169.9187,84.09,65,0,11.5,clear sky
215,Bayburt,TR,40.2589,40.2278,49.37,89,100,3.2,overcast clouds
216,Biak,ID,-0.9131,122.8766,83.05,68,79,5.19,broken clouds
217,Powassan,CA,46.0334,-79.3496,44.15,94,49,11.3,light rain
218,Turukhansk,RU,65.8167,87.9833,29.39,84,97,11.07,overcast clouds
219,Shush,IR,32.1942,48.2436,79.03,25,10,4.27,clear sky
220,Kaniama,CD,-7.5667,24.1833,69.48,71,79,7.4,broken clouds
221,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,80,75,10.0,broken clouds
222,North Bend,US,43.4065,-124.2243,66.24,88,0,9.22,clear sky
223,Kungurtug,RU,50.5994,97.5228,23.77,46,0,1.48,clear sky
224,Deputatskiy,RU,69.3,139.9,13.01,91,100,4.03,overcast clouds
225,Bata,GQ,1.8639,9.7658,75.99,89,100,3.47,light rain
226,Tiruchchendur,IN,8.4833,78.1167,77.29,79,100,14.85,overcast clouds
